datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
2006-09-01 12:00:00+00:00,Litoral De Pecem,1.8,4.4,148.8
2006-09-01 12:00:00+00:00,Litoral Norte,0.5,0.9,86.6
2006-09-01 12:00:00+00:00,Macico De Baturite,4.5,3.4,-23.2
2006-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,0.4,-81.4
2006-10-01 12:00:00+00:00,Cariri,13.5,8.9,-34.2
2006-10-01 12:00:00+00:00,Ibiapaba,3.0,0.5,-83.6
2006-10-01 12:00:00+00:00,Jaguaribana,2.6,4.5,72.8
2006-10-01 12:00:00+00:00,Litoral De Fortaleza,3.3,1.6,-51.1
2006-10-01 12:00:00+00:00,Litoral De Pecem,1.4,0.5,-65.6
2006-10-01 12:00:00+00:00,Litoral Norte,0.7,0.0,-100.0
2006-10-01 12:00:00+00:00,Macico De Baturite,3.5,0.3,-92.1
2006-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.6,7.0,91.0
2006-11-01 12:00:00+00:00,Cariri,19.5,11.5,-41.0
2006-11-01 12:00:00+00:00,Ibiapaba,6.8,0.6,-91.4
2006-11-01 12:00:00+00:00,Jaguaribana,3.2,0.5,-83.7
2006-11-01 12:00:00+00:00,Litoral De Fortaleza,3.6,1.7,-54.4
2006-11-01 12:00:00+00:00,Litoral De Pecem,2.0,0.7,-67.4
2006-11-01 12:00:00+00:00,Litoral Norte,1.4,0.2,-84.1
2006-11-01 12:00:00+00:00,Macico De Baturite,5.1,4.1,-20.7
2006-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.0,3.2,-35.6
2006-12-01 12:00:00+00:00,Cariri,68.0,87.4,28.5
2006-12-01 12:00:00+00:00,Ibiapaba,34.2,10.7,-68.7
2006-12-01 12:00:00+00:00,Jaguaribana,21.4,13.2,-38.3
2006-12-01 12:00:00+00:00,Litoral De Fortaleza,25.3,4.0,-84.1
2006-12-01 12:00:00+00:00,Litoral De Pecem,18.2,9.3,-48.9
2006-12-01 12:00:00+00:00,Litoral Norte,20.5,12.1,-41.2
2006-12-01 12:00:00+00:00,Macico De Baturite,23.9,8.5,-64.5
2006-12-01 12:00:00+00:00,Sertao Central E Inhamuns,32.2,18.4,-42.7
2007-01-01 12:00:00+00:00,Cariri,147.7,65.8,-55.5
2007-01-01 12:00:00+00:00,Ibiapaba,109.5,10.7,-90.2
2007-01-01 12:00:00+00:00,Jaguaribana,84.7,17.3,-79.5
2007-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,37.4,-61.2
2007-01-01 12:00:00+00:00,Litoral De Pecem,87.5,21.6,-75.3
2007-01-01 12:00:00+00:00,Litoral Norte,111.0,13.2,-88.1
2007-01-01 12:00:00+00:00,Macico De Baturite,96.9,37.9,-60.9
2007-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,19.7,-77.5
2007-02-01 12:00:00+00:00,Cariri,157.7,282.8,79.4
2007-02-01 12:00:00+00:00,Ibiapaba,136.6,267.5,95.8
2007-02-01 12:00:00+00:00,Jaguaribana,105.7,227.7,115.3
2007-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,239.1,78.8
2007-02-01 12:00:00+00:00,Litoral De Pecem,122.9,222.9,81.4
2007-02-01 12:00:00+00:00,Litoral Norte,152.4,316.7,107.7
2007-02-01 12:00:00+00:00,Macico De Baturite,116.8,152.8,30.8
2007-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,229.6,135.1
2007-03-01 12:00:00+00:00,Cariri,216.3,101.4,-53.1
