datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
1974-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,17.7,76.2
1974-08-01 12:00:00+00:00,Litoral De Pecem,4.2,1.8,-56.9
1974-08-01 12:00:00+00:00,Litoral Norte,2.2,0.0,-99.1
1974-08-01 12:00:00+00:00,Macico De Baturite,12.9,10.0,-21.9
1974-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,1.2,-75.0
1974-09-01 12:00:00+00:00,Cariri,5.6,13.1,136.3
1974-09-01 12:00:00+00:00,Ibiapaba,1.1,5.3,382.7
1974-09-01 12:00:00+00:00,Jaguaribana,1.4,16.1,1073.3
1974-09-01 12:00:00+00:00,Litoral De Fortaleza,5.8,25.8,341.1
1974-09-01 12:00:00+00:00,Litoral De Pecem,1.8,10.6,493.9
1974-09-01 12:00:00+00:00,Litoral Norte,0.5,5.1,902.7
1974-09-01 12:00:00+00:00,Macico De Baturite,4.5,29.8,570.0
1974-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,13.2,604.4
1974-10-01 12:00:00+00:00,Cariri,13.5,19.9,47.4
1974-10-01 12:00:00+00:00,Ibiapaba,3.0,13.3,337.7
1974-10-01 12:00:00+00:00,Jaguaribana,2.6,6.1,136.0
1974-10-01 12:00:00+00:00,Litoral De Fortaleza,3.3,24.7,640.5
1974-10-01 12:00:00+00:00,Litoral De Pecem,1.4,6.6,385.4
1974-10-01 12:00:00+00:00,Litoral Norte,0.7,8.0,1017.8
1974-10-01 12:00:00+00:00,Macico De Baturite,3.5,8.9,151.2
1974-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.6,5.1,41.2
1974-11-01 12:00:00+00:00,Cariri,19.5,30.2,54.4
1974-11-01 12:00:00+00:00,Ibiapaba,6.8,2.4,-64.5
1974-11-01 12:00:00+00:00,Jaguaribana,3.2,9.1,185.6
1974-11-01 12:00:00+00:00,Litoral De Fortaleza,3.6,9.5,160.1
1974-11-01 12:00:00+00:00,Litoral De Pecem,2.0,2.3,14.9
1974-11-01 12:00:00+00:00,Litoral Norte,1.4,3.4,135.6
1974-11-01 12:00:00+00:00,Macico De Baturite,5.1,4.4,-13.7
1974-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.0,5.4,8.2
1974-12-01 12:00:00+00:00,Cariri,68.0,49.6,-27.0
1974-12-01 12:00:00+00:00,Ibiapaba,34.2,50.7,48.5
1974-12-01 12:00:00+00:00,Jaguaribana,21.4,39.4,84.4
1974-12-01 12:00:00+00:00,Litoral De Fortaleza,25.3,82.3,225.5
1974-12-01 12:00:00+00:00,Litoral De Pecem,18.2,47.0,158.1
1974-12-01 12:00:00+00:00,Litoral Norte,20.5,45.7,122.9
1974-12-01 12:00:00+00:00,Macico De Baturite,23.9,67.2,180.8
1974-12-01 12:00:00+00:00,Sertao Central E Inhamuns,32.2,36.1,12.2
1975-01-01 12:00:00+00:00,Cariri,147.7,161.2,9.1
1975-01-01 12:00:00+00:00,Ibiapaba,109.5,82.7,-24.5
1975-01-01 12:00:00+00:00,Jaguaribana,84.7,51.8,-38.9
1975-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,83.2,-13.5
1975-01-01 12:00:00+00:00,Litoral De Pecem,87.5,63.8,-27.1
1975-01-01 12:00:00+00:00,Litoral Norte,111.0,85.3,-23.2
1975-01-01 12:00:00+00:00,Macico De Baturite,96.9,58.2,-40.0
1975-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,79.0,-9.9
1975-02-01 12:00:00+00:00,Cariri,157.7,136.0,-13.8
1975-02-01 12:00:00+00:00,Ibiapaba,136.6,172.9,26.6
1975-02-01 12:00:00+00:00,Jaguaribana,105.7,122.5,15.8
1975-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,167.4,25.2
1975-02-01 12:00:00+00:00,Litoral De Pecem,122.9,129.2,5.2
1975-02-01 12:00:00+00:00,Litoral Norte,152.4,210.4,38.0
1975-02-01 12:00:00+00:00,Macico De Baturite,116.8,130.5,11.8
1975-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,103.0,5.4
1975-03-01 12:00:00+00:00,Cariri,216.3,312.1,44.3
1975-03-01 12:00:00+00:00,Ibiapaba,230.5,251.3,9.0
1975-03-01 12:00:00+00:00,Jaguaribana,189.5,260.2,37.3
1975-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,292.8,16.7
1975-03-01 12:00:00+00:00,Litoral De Pecem,231.5,285.9,23.5
1975-03-01 12:00:00+00:00,Litoral Norte,264.2,294.9,11.6
1975-03-01 12:00:00+00:00,Macico De Baturite,209.5,271.0,29.4
1975-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,218.2,27.0
1975-04-01 12:00:00+00:00,Cariri,178.5,194.8,9.1
1975-04-01 12:00:00+00:00,Ibiapaba,208.0,146.1,-29.8
1975-04-01 12:00:00+00:00,Jaguaribana,184.2,158.9,-13.8
1975-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,256.4,-2.6
1975-04-01 12:00:00+00:00,Litoral De Pecem,210.0,250.7,19.4
1975-04-01 12:00:00+00:00,Litoral Norte,240.2,231.4,-3.7
